Date,MSCI_indexed,savings_indexed
2003-12-01,10000.00,10120.60
2003-12-02,9910.36,10120.60
2003-12-03,9869.05,10120.60
2003-12-04,9942.12,10120.60
2003-12-05,9834.47,10120.60
2003-12-08,9811.95,10120.60
2003-12-09,9767.67,10120.60
2003-12-10,9754.55,10120.60
2003-12-11,9814.37,10120.60
2003-12-12,9807.34,10120.60
2003-12-15,9793.69,10120.60
2003-12-16,9777.04,10120.60
2003-12-17,9743.51,10120.60
2003-12-18,9831.55,10120.60
2003-12-19,9873.05,10120.60
2003-12-22,9878.20,10120.60
2003-12-23,9910.25,10120.60
2003-12-24,9873.34,10120.60
2003-12-25,9885.23,10120.60
2003-12-26,9927.30,10120.60
2003-12-29,9969.65,10120.60
2003-12-30,9964.74,10120.60
2003-12-31,9956.95,10120.60
2004-01-02,9932.63,10130.06
2004-01-05,10045.96,10130.06
2004-01-06,10035.56,10130.06
2004-01-07,10069.27,10130.06
2004-01-08,10058.71,10130.06
2004-01-09,9982.45,10130.06
2004-01-12,10046.83,10130.06
2004-01-13,9987.30,10130.06
2004-01-14,10130.92,10130.06
2004-01-15,10151.49,10130.06
2004-01-16,10352.78,10130.06
2004-01-19,10401.48,10130.06
2004-01-20,10255.89,10130.06
2004-01-21,10262.55,10130.06
2004-01-22,10228.32,10130.06
2004-01-23,10326.75,10130.06
2004-01-26,10393.29,10130.06
2004-01-27,10264.75,10130.06
2004-01-28,10309.78,10130.06
2004-01-29,10300.40,10130.06
2004-01-30,10232.80,10130.06
2004-02-02,10287.94,10139.88
2004-02-03,10217.24,10139.88
2004-02-04,10141.49,10139.88
2004-02-05,10119.85,10139.88
2004-02-06,10146.86,10139.88
2004-02-09,10182.15,10139.88
2004-02-10,10218.62,10139.88
2004-02-11,10212.89,10139.88
2004-02-12,10196.85,10139.88
2004-02-13,10205.36,10139.88
2004-02-16,10219.78,10139.88
2004-02-17,10239.16,10139.88
2004-02-18,10267.79,10139.88
2004-02-19,10314.23,10139.88
2004-02-20,10330.82,10139.88
2004-02-23,10318.63,10139.88
2004-02-24,10212.89,10139.88
2004-02-25,10332.97,10139.88
2004-02-26,10388.76,10139.88
2004-02-27,10388.24,10139.88
2004-03-01,10532.68,10149.37
2004-03-02,10656.19,10149.37
2004-03-03,10651.82,10149.37
2004-03-04,10663.06,10149.37
2004-03-05,10585.39,10149.37
2004-03-08,10513.13,10149.37
2004-03-09,10512.21,10149.37
2004-03-10,10457.55,10149.37
2004-03-11,10208.03,10149.37
2004-03-12,10351.41,10149.37
2004-03-15,10191.78,10149.37
2004-03-16,10259.77,10149.37
2004-03-17,10408.35,10149.37
2004-03-18,10275.31,10149.37
2004-03-19,10280.06,10149.37
2004-03-22,10100.59,10149.37
2004-03-23,10103.84,10149.37
2004-03-24,10279.74,10149.37
2004-03-25,10268.12,10149.37
2004-03-26,10243.68,10149.37
2004-03-29,10349.13,10149.37
2004-03-30,10334.74,10149.37
2004-03-31,10352.89,10149.37
2004-04-01,10340.51,10159.02
2004-04-02,10570.84,10159.02
2004-04-05,10772.29,10159.02
2004-04-06,10761.61,10159.02
2004-04-07,10701.88,10159.02
2004-04-08,10792.78,10159.02
2004-04-09,10724.63,10159.02
2004-04-12,10764.99,10159.02
2004-04-13,10870.27,10159.02
2004-04-14,10901.25,10159.02
2004-04-15,10762.75,10159.02
2004-04-16,10664.93,10159.02
2004-04-19,10633.52,10159.02
2004-04-20,10860.24,10159.02
2004-04-21,10898.41,10159.02
2004-04-22,10707.79,10159.02
2004-04-23,10749.33,10159.02
2004-04-26,10833.60,10159.02
2004-04-27,10791.37,10159.02
2004-04-28,10868.54,10159.02
2004-04-29,10767.39,10159.02
2004-04-30,10594.73,10159.02
2004-05-03,10573.57,10168.51
2004-05-04,10358.89,10168.51
2004-05-05,10367.56,10168.51
2004-05-06,10516.78,10168.51
2004-05-07,10734.81,10168.51
2004-05-10,10641.72,10168.51
2004-05-11,10444.13,10168.51
2004-05-12,10180.14,10168.51
2004-05-13,10342.79,10168.51
2004-05-14,10302.46,10168.51
2004-05-17,10159.52,10168.51
2004-05-18,10198.92,10168.51
2004-05-19,10051.12,10168.51
2004-05-20,10156.77,10168.51
2004-05-21,10234.73,10168.51
2004-05-24,10173.81,10168.51
2004-05-25,10164.85,10168.51
2004-05-26,10166.60,10168.51
2004-05-27,10133.24,10168.51
2004-05-28,10222.33,10168.51
2004-05-31,10346.82,10168.51
2004-06-01,10291.45,10178.00
2004-06-02,10320.72,10178.00
2004-06-03,10307.26,10178.00
2004-06-04,10283.83,10178.00
2004-06-07,10181.03,10178.00
2004-06-08,10297.24,10178.00
2004-06-09,10666.46,10178.00
2004-06-10,10612.69,10178.00
2004-06-11,10582.60,10178.00
2004-06-14,10580.76,10178.00
2004-06-15,10452.20,10178.00
2004-06-16,10497.79,10178.00
2004-06-17,10529.59,10178.00
2004-06-18,10477.64,10178.00
2004-06-21,10499.48,10178.00
2004-06-22,10539.53,10178.00
2004-06-23,10549.38,10178.00
2004-06-24,10456.83,10178.00
2004-06-25,10517.83,10178.00
2004-06-28,10561.48,10178.00
2004-06-29,10590.35,10178.00
2004-06-30,10553.86,10178.00
2004-07-01,10546.52,10187.74
2004-07-02,10429.74,10187.74
2004-07-05,10347.50,10187.74
2004-07-06,10288.82,10187.74
2004-07-07,10282.10,10187.74
2004-07-08,10197.01,10187.74
2004-07-09,10212.83,10187.74
2004-07-12,10180.75,10187.74
2004-07-13,10272.53,10187.74
2004-07-14,10239.86,10187.74
2004-07-15,10248.46,10187.74
2004-07-16,10141.88,10187.74
2004-07-19,10091.44,10187.74
2004-07-20,10189.86,10187.74
2004-07-21,10233.90,10187.74
2004-07-22,10258.05,10187.74
2004-07-23,10304.88,10187.74
2004-07-26,10238.75,10187.74
2004-07-27,10193.17,10187.74
2004-07-28,10168.41,10187.74
2004-07-29,10210.50,10187.74
2004-07-30,10239.80,10187.74
2004-08-02,10303.02,10197.58
2004-08-03,10302.11,10197.58
2004-08-04,10325.18,10197.58
2004-08-05,10309.30,10197.58
2004-08-06,10067.36,10197.58
2004-08-09,9983.37,10197.58
2004-08-10,9921.94,10197.58
2004-08-11,9905.47,10197.58
2004-08-12,9991.13,10197.58
2004-08-13,9824.27,10197.58
2004-08-16,9763.46,10197.58
2004-08-17,9788.38,10197.58
2004-08-18,9881.79,10197.58
2004-08-19,9882.27,10197.58
2004-08-20,9998.38,10197.58
2004-08-23,10158.55,10197.58
2004-08-24,10242.52,10197.58
2004-08-25,10236.69,10197.58
2004-08-26,10202.56,10197.58
2004-08-27,10337.33,10197.58
2004-08-30,10330.54,10197.58
2004-08-31,10256.83,10197.58
2004-09-01,10188.51,10207.57
2004-09-02,10229.88,10207.57
2004-09-03,10375.84,10207.57
2004-09-06,10420.36,10207.57
2004-09-07,10356.30,10207.57
2004-09-08,10316.47,10207.57
2004-09-09,10325.07,10207.57
2004-09-10,10292.42,10207.57
2004-09-13,10279.09,10207.57
2004-09-14,10355.39,10207.57
2004-09-15,10476.69,10207.57
2004-09-16,10470.24,10207.57
2004-09-17,10368.04,10207.57
2004-09-20,10413.95,10207.57
2004-09-21,10317.95,10207.57
2004-09-22,10329.49,10207.57
2004-09-23,10409.39,10207.57
2004-09-24,10299.67,10207.57
2004-09-27,10245.56,10207.57
2004-09-28,10227.49,10207.57
2004-09-29,10156.75,10207.57
2004-09-30,10127.25,10207.57
2004-10-01,10185.42,10217.79
2004-10-04,10316.59,10217.79
2004-10-05,10441.15,10217.79
2004-10-06,10507.56,10217.79
2004-10-07,10503.07,10217.79
2004-10-08,10451.57,10217.79
2004-10-11,10405.32,10217.79
2004-10-12,10446.31,10217.79
2004-10-13,10426.97,10217.79
2004-10-14,10314.25,10217.79
2004-10-15,10203.12,10217.79
2004-10-18,10141.51,10217.79
2004-10-19,10155.86,10217.79
2004-10-20,10127.08,10217.79
2004-10-21,10081.69,10217.79
2004-10-22,10021.36,10217.79
2004-10-25,9953.61,10217.79
2004-10-26,9942.37,10217.79
2004-10-27,9963.98,10217.79
2004-10-29,10090.64,10217.79
2004-11-01,10172.51,10228.28
2004-11-02,10194.32,10228.28
2004-11-03,10139.48,10228.28
2004-11-04,10129.87,10228.28
2004-11-05,10161.40,10228.28
2004-11-08,10320.23,10228.28
2004-11-09,10384.16,10228.28
2004-11-10,10389.07,10228.28
2004-11-11,10347.79,10228.28
2004-11-12,10289.99,10228.28
2004-11-15,10388.97,10228.28
2004-11-16,10471.00,10228.28
2004-11-17,10424.13,10228.28
2004-11-18,10448.38,10228.28
2004-11-19,10464.11,10228.28
2004-11-22,10442.16,10228.28
2004-11-23,10345.20,10228.28
2004-11-24,10269.84,10228.28
2004-11-25,10326.54,10228.28
2004-11-26,10299.90,10228.28
2004-11-29,10264.70,10228.28
2004-11-30,10292.47,10228.28
2004-12-01,10255.11,10238.67
2004-12-02,10272.57,10238.67
2004-12-03,10231.20,10238.67
2004-12-06,10292.34,10238.67
2004-12-07,10292.72,10238.67
2004-12-08,10345.80,10238.67
2004-12-09,10313.89,10238.67
2004-12-10,10334.27,10238.67
2004-12-13,10246.87,10238.67
