"td-time","hidden-xs","visible-xs","center-in-same-flight","mobile-only","in-same-flight","mobile-only 2","mobile-only 3","mobile-only 4","mobile-only 5","mobile-only 6","td-destination","td-airline","td-flight"
"08:40","T1","TT1","TP 668","+5","5","AD 7339","BT 5337","FI 6400","MS 9428","S4 8114","Amsterdam","TAP AIR PORTUGAL",""
"08:40","T1","TT1","TP 1092","+3","3","AD 7351","EY 2757","S4 8055","","","Valencia","TAP AIR PORTUGAL",""
"08:50","T1","TT1","TP 1032","+5","5","AC 2702","AD 7277","FI 6404","MS 942","S4 8710","Barcelona","TAP AIR PORTUGAL",""
"08:50","T1","TT1","TP 1062","+3","3","AD 7294","EY 2706","S4 8736","","","Bilbao","TAP AIR PORTUGAL",""
"08:50","T1","TT1","JJ 8147","+1","1","LA 8147","","","","","São Paulo, Guarulhos","TAM LINHAS AÉREAS",""
"08:50","T1","TT1","TP 930","+7","7","AC 2696","OS 8158","AD 7255","BT 5320","OU 5707","Zurich","TAP AIR PORTUGAL",""
"09:00","T1","TT1","TP 1012","+8","8","AC 2683","A3 1706","AD 7270","CA 7051","LO 4764","Madrid","TAP AIR PORTUGAL",""
"09:00","T1","TT1","TP 1541","+1","1","ET 2738","","","","","Praia","TAP AIR PORTUGAL",""
"09:10","T1","TT1","TP 1922","+5","5","AD 7451","ET 2732","B6 6778","S4 8148","TG 7352","Porto","TAP AIR PORTUGAL",""
"09:15","T1","TT1","TP 1557","+2","2","TK 8142","EK 4834","","","","São Vicente","TAP AIR PORTUGAL",""
"09:20","T1","TT1","TP 1452","+4","4","AC 2647","ET 2742","LO 4732","S4 8309","","Marrakech","TAP AIR PORTUGAL",""
"09:30","T2","TT2","","","","","","","","","Brussels, Charleroi","RYANAIR","FR 1301"
"09:35","T1","TT1","TP 1901","+8","8","AD 7187","LH 6966","ET 2714","B6 6780","LG 1979","Faro","TAP AIR PORTUGAL",""
"09:35","T1","TT1","","","","","","","","","Sao Tome","TAP AIR PORTUGAL","TP 1527"
"09:45","T2","TT2","","","","","","","","","Paris, Orly","TRANSAVIA FRANCE","TO 7641"
"09:50","T1","TT1","TP 1352","+6","6","AC 2709","AD 7327","CA 7046","MS 9438","S4 8616","London, Heathrow","TAP AIR PORTUGAL",""
"09:50","T2","TT2","","","","","","","","","Rome, Fiumicino","RYANAIR","FR 9904"
"09:55","T1","TT1","TP 103","+5","5","AD 7126","JD 5433","EY 2711","TK 8819","EK 4804","Belo Horizonte","TAP AIR PORTUGAL",""
"09:55","T1","TT1","TP 057","+4","4","AD 7110","EY 2709","TK 8817","EK 4802","","Brasilia","TAP AIR PORTUGAL",""
"10:00","T1","TT1","","","","","","","","","New York, JFK","DELTA AIR LINES","DL 273"
"10:00","T1","TT1","TP 1924","+7","7","AD 7189","LH 6944","ET 2733","S4 8424","SK 8916","Porto","TAP AIR PORTUGAL",""
"10:05","T2","TT2","","","","","","","","","London, Stansted","RYANAIR","FR 714"
"10:05","T2","TT2","","","","","","","","","Warsaw, Modlin","RYANAIR","FR 2264"
"10:50","T1","TT1","TP 1034","+5","5","AC 2676","A3 1709","AD 7279","S4 8692","UA 6870","Barcelona","TAP AIR PORTUGAL",""
"10:55","T1","TT1","TP 109","+3","3","AD 7157","EY 2780","TK 8458","","","Florianopolis","TAP AIR PORTUGAL",""
"10:55","T1","TT1","TP 1116","+4","4","AC 2674","AD 7311","S4 8195","EK 4886","","Gran Canaria","TAP AIR PORTUGAL",""
"11:00","T1","TT1","TP 434","+3","3","AD 7161","S4 8928","JJ 6918","","","Paris, Orly","TAP AIR PORTUGAL",""
"11:20","T1","TT1","","","","","","","","","Toronto","AIR CANADA","AC 811"
"11:25","T1","TT1","KL 1580","+1","1","DL 9597","","","","","Amsterdam","KLM",""
"11:35","T1","TT1","UX 1150","+5","5","AM 6905","AR 7345","JU 7455","AD 7851","SV 6130","Madrid","AIR EUROPA",""
"11:40","T1","TT1","TP 217","+1","1","B6 6769","","","","","Boston","TAP AIR PORTUGAL",""
"11:40","T1","TT1","TK 1756","+1","1","6E 4252","","","","","Istanbul","TURKISH AIRLINES",""
"11:40","T1","TT1","TP 1689","+9","9","AC 2643","AD 7329","LH 6952","ET 2718","LG 1971","Madeira","TAP AIR PORTUGAL",""
"11:45","T1","TT1","TP 1014","+6","6","AC 2689","AV 2499","AD 7312","LO 4764","S4 8694","Madrid","TAP AIR PORTUGAL",""
"11:45","T1","TT1","TP 834","+7","7","A3 1756","AD 7242","CA 7055","OU 5723","AZ 7525","Rome, Fiumicino","TAP AIR PORTUGAL",""
"11:50","T1","TT1","","","","","","","","","Bordeaux","EASYJET EUROPE","EJU7625"
"11:50","T1","TT1","","","","","","","","","Izmir","PEGASUS AIRLINES","PC 1562"
"12:00","T1","TT1","A3 721","+1","1","TP 7410","","","","","Athens","AEGEAN AIRLINES",""
"12:00","T1","TT1","TP 782","+4","4","BT 5280","FI 6402","S4 8682","SK 8900","","Stockholm, Arlanda","TAP AIR PORTUGAL",""
"12:05","T1","TT1","TP 1206","+3","3","AY 6755","LO 4798","S4 8508","","","Warsaw","TAP AIR PORTUGAL",""
"12:10","T1","TT1","TP 1926","+7","7","AC 2639","AD 7257","S4 8440","JJ 6977","TG 7354","Porto","TAP AIR PORTUGAL",""
"12:15","T1","TT1","TP 1823","+6","6","AD 7183","B6 6791","LG 1985","S4 8823","JJ 6948","Terceira","TAP AIR PORTUGAL",""
"12:15","T1","TT1","LX 2087","+1","1","TP 8209","","","","","Zurich","SWISS INTERNATIONAL",""
"12:20","T1","TT1","AF 1025","+5","5","DL 8443","G3 5128","KQ 3793","MK 9215","UU 8025","Paris, Ch. de Gaulle","AIR FRANCE",""
"12:25","T1","TT1","LH 1167","+4","4","NH 6058","OS 7394","TP 6701","TG 7679","","Frankfurt","LUFTHANSA",""
"12:25","T1","TT1","TP 554","+7","7","A3 1744","AD 7221","BT 5291","OU 5729","LH 6967","Munich","TAP AIR PORTUGAL",""
"12:25","T2","TT2","","","","","","","","","Milan, Bergamo","RYANAIR","FR 2086"
"12:30","T1","TT1","","","","","","","","","Madrid","IBERIA","IB 1142"
"12:30","T1","TT1","TP 089","+3","3","AD 7125","JD 5455","EY 2727","","","São Paulo, Guarulhos","TAP AIR PORTUGAL",""
"12:35","T1","TT1","","","","","","","","","Casablanca","ROYAL AIR MAROC","AT 981"
"12:45","T1","TT1","TP 572","+12","12","AI 7902","NH 6736","AD 7207","BT 5363","CA 7036","Frankfurt","TAP AIR PORTUGAL",""
"12:50","T1","TT1","TP 672","+8","8","AD 7245","BT 5297","LY 9052","AY 6772","FI 6400","Amsterdam","TAP AIR PORTUGAL",""
"12:55","T1","TT1","BA 505","+3","3","AA 6648","JL 7710","QR 5983","","","London, Heathrow","BRITISH AIRWAYS",""
"12:55","T1","TT1","","","","","","","","","Milan, Malpensa","EASYJET EUROPE","EJU7697"
"13:00","T1","TT1","TP 1336","+2","2","BT 5325","S4 8608","","","","London, Gatwick","TAP AIR PORTUGAL",""
"13:00","T1","TT1","TP 073","+3","3","AD 7113","JD 5437","EY 2721","","","Rio de Janeiro","TAP AIR PORTUGAL",""
"13:00","T1","TT1","","","","","","","","","São Paulo, Viracopos","AZUL LINHAS AEREAS","AD 8753"
"13:10","T1","TT1","TP 826","+8","8","A3 1702","AI 7908","AD 7231","LY 9048","ET 1735","Milan, Malpensa","TAP AIR PORTUGAL",""
"13:10","T1","TT1","TP 1104","+4","4","AC 2672","AD 7309","EY 2752","S4 8742","","Sevilla","TAP AIR PORTUGAL",""
"13:15","T1","TT1","TP 644","+6","6","SN 6404","BT 5249","OU 5711","ET 1733","AY 6792","Brussels","TAP AIR PORTUGAL",""
"13:15","T1","TT1","TP 1324","+1","1","S4 8298","","","","","Dublin","TAP AIR PORTUGAL",""
"13:20","T1","TT1","TP 436","+4","4","AD 7162","LO 4768","S4 8920","JJ 6919","","Paris, Orly","TAP AIR PORTUGAL",""
"13:20","T1","TT1","TP 932","+8","8","OS 8158","AD 7239","BT 5258","OU 5721","LY 9028","Zurich","TAP AIR PORTUGAL",""
"13:25","T1","TT1","TP 1454","+5","5","AC 2645","LO 4732","S4 8306","TK 8491","EK 4866","Marrakech","TAP AIR PORTUGAL",""
"13:25","T1","TT1","","","","","","","","","Praia","EASYJET EUROPE","EJU7623"
"13:35","T1","TT1","EK 192","+1","1","TP 6731","","","","","Dubai","EMIRATES",""
"13:35","T1","TT1","LX 2093","+1","1","TP 6759","","","","","Geneva","SWISS INTERNATIONAL",""
"13:40","T1","TT1","SN 3816","+2","2","NH 5126","TP 6774","","","","Brussels","BRUSSELS AIRLINES",""
"13:40","T1","TT1","","","","","","","","","Marrakech","EASYJET EUROPE","EJU7675"
"13:50","T1","TT1","JJ 8149","+1","1","LA 8149","","","","","São Paulo, Guarulhos","TAM LINHAS AÉREAS",""
"13:50","T2","TT2","","","","","","","","","Paris, Orly","TRANSAVIA FRANCE","TO 7645"
"13:55","T2","TT2","","","","","","","","","Luxembourg","RYANAIR","FR 1791"
"14:00","T1","TT1","TP 942","+4","4","AD 7266","AY 6778","S4 8353","LX 4597","","Geneva","TAP AIR PORTUGAL",""
"14:00","T1","TT1","UA 065","+3","3","AC 3919","SN 9026","LH 7967","","","Newark","UNITED AIRLINES",""
"14:00","T1","TT1","TP 1928","+7","7","AD 7452","LH 6968","B6 6779","S4 8039","JJ 6941","Porto","TAP AIR PORTUGAL",""
"14:00","T2","TT2","VY 8463","+3","3","LL 5684","IB 5231","QR 5514","","","Barcelona","VUELING AIRLINES",""
"14:05","T1","TT1","","","","","","","","","Bristol","EASYJET AIRLINES","EZY2868"
"14:05","T1","TT1","S4 125","+2","2","AF 9612","TP 6621","","","","Ponta Delgada","AZORES AIRLINES",""
"14:15","T1","TT1","","","","","","","","","Milan, Linate","EASYJET EUROPE","EJU1972"
"14:15","T1","TT1","","","","","","","","","Warsaw","LOT","LO 426"
"14:20","T1","TT1","TP 1036","+8","8","AC 2676","A3 1762","AD 7283","OU 5727","LO 4708","Barcelona","TAP AIR PORTUGAL",""
"14:20","T1","TT1","TP 1272","+5","5","OS 8144","BT 5272","LY 9024","ET 1732","S4 8282","Vienna","TAP AIR PORTUGAL",""
"14:20","T2","TT2","","","","","","","","","Budapest","RYANAIR","FR 8858"
"14:25","T2","TT2","","","","","","","","","Malta, Luqa","RYANAIR","FR 9655"
"14:30","T1","TT1","","","","","","","","","Doha, Hamad","QATAR AIRWAYS","QR 342"
"14:30","T1","TT1","","","","","","","","","Praia","TACV","VR 607"
"14:40","T1","TT1","TP 1356","+10","10","AI 7912","NH 6732","AV 2493","AD 7331","CA 7056","London, Heathrow","TAP AIR PORTUGAL",""
"14:40","T1","TT1","TP 836","+5","5","AD 7307","LY 9017","ET 1744","AZ 7763","S4 8912","Rome, Fiumicino","TAP AIR PORTUGAL",""
"14:45","T1","TT1","","","","","","","","","Geneva","EASYJET SWITZERLAND","EZS1464"
"14:50","T1","TT1","TP 1016","+8","8","AC 2689","A3 1710","AV 2485","AD 7316","LO 4766","Madrid","TAP AIR PORTUGAL",""
"14:55","T1","TT1","TP 1905","+13","13","AC 2710","AD 7477","BT 5289","LH 6936","ET 2715","Faro","TAP AIR PORTUGAL",""
"15:05","T2","TT2","","","","","","","","","Brussels, Charleroi","RYANAIR","FR 3609"
"15:10","T2","TT2","","","","","","","","","Paris, Orly","TRANSAVIA FRANCE","TO 7647"
"15:20","T1","TT1","TP 1691","+10","10","AD 7178","LH 6938","B6 6793","LG 1993","LO 4745","Madeira","TAP AIR PORTUGAL",""
"15:25","T1","TT1","LX 2085","+1","1","TP 6763","","","","","Zurich","SWISS INTERNATIONAL",""
